,,,Batting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pitching,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fielding,,,,,,,,,,,,,,,,,,,,,,,,,
Number,Last,First,GP,PA,AB,AVG,OBP,OPS,SLG,H,1B,2B,3B,HR,RBI,R,BB,SO,K-L,HBP,SAC,SF,ROE,FC,SB,SB%,CS,PIK,QAB,QAB%,PA/BB,BB/K,C%,HHB,LD%,FB%,GB%,BABIP,BA/RISP,LOB,2OUTRBI,XBH,TB,PS,PS/PA,2S+3,2S+3%,6,6%,AB/HR,GIDP,GITP,CI,IP,GP,GS,BF,#P,W,L,SV,SVO,BS,SV%,H,R,ER,BB,SO,K-L,HBP,ERA,WHIP,LOB,BK,PIK,CS,SB,SB%,WP,BAA,MPHFB,MPHCT,MPHCB,MPHSL,MPHCH,MPHOS,P/IP,P/BF,<3%,LOO,1ST2OUT,123INN,<13,FIP,S%,FPS%,FPSO%,FPSW%,FPSH%,BB/INN,0BBINN,BBS,LOBB,LOBBS,SM%,K/BF,K/BB,WEAK%,HHB%,GO/AO,HR,LD%,FB%,GB%,BABIP,BA/RISP,FB,FBS,FBS%,FBSW%,FBSM%,CT,CTS,CTS%,CTSW%,CTSM%,CB,CBS,CBS%,CBSW%,CBSM%,SL,SLS,SLS%,SLSW%,SLSM%,CH,CHS,CHS%,CHSW%,CHSM%,OS,OSS,OSS%,OSSW%,OSSM%,TC,A,PO,FPCT,E,DP,TP,INN,PB,SB,SB-ATT,CS,CS%,PIK,CI,P,C,1B,2B,3B,SS,LF,CF,RF,SF,Total
2,Grant,Brady,1,1,1,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-,0,0,0,0.00,-,0.000,0.00,0,-,-,-,-,-,1,0,0,0,4,4.000,0,0.00,0,0.00,-,0,0,0,1.0,1,0,8,27,0,0,0,0,0,-,3,2,2,2,0,0,0,14.00,5.000,3,0,0,0,0,-,0,0.500,N/A,N/A,N/A,N/A,N/A,N/A,27.0,3.375,50.00,1,0,0,0,8.520,51.85,50.00,50.00,0.00,50.00,2.000,0,0,0,0,3.70,0.000,0.000,66.67,33.33,0.000,0,0.00,50.00,50.00,0.500,0.333,0,0,-,-,-,0,0,-,-,-,0,0,-,-,-,0,0,-,-,-,0,0,-,-,-,0,0,-,-,-,0,0,0,-,0,0,0,0.0,0,0,0-0,0,-,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
3,Wilcox,Xavier,1,4,4,0.250,0.250,0.500,0.250,1,1,0,0,0,2,1,0,1,0,0,0,0,0,1,0,-,0,0,1,25.00,-,0.000,75.00,0,0.00,33.33,33.33,0.333,0.333,4,0,0,1,14,3.500,1,25.00,0,0.00,-,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0.000,0.000,0,0,0,0,0,0.00,0,0.000,N/A,N/A,N/A,N/A,N/A,N/A,0.0,0.000,0.00,0,0,0,0,0.000,0.00,0.00,0.00,0.00,0.00,0.000,0,0,0,0,0.00,0.000,0.000,0.00,0.00,0.000,0,0.00,0.00,0.00,0.000,0.000,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,5,1,3,0.800,1,1,0,0.0,0,0,0-0,0,-,0,0,0.0,0.0,0.2,6.1,0.0,0.0,0.0,0.0,0.0,0.0,7.0
7,Chapman,Darius,1,4,2,0.000,0.333,0.333,0.000,0,0,0,0,0,0,0,0,2,2,1,1,0,0,0,0,-,0,0,1,25.00,-,0.000,0.00,0,0.00,0.00,0.00,-,0.000,2,0,0,0,14,3.500,0,0.00,0,0.00,-,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0.000,0.000,0,0,0,0,0,0.00,0,0.000,N/A,N/A,N/A,N/A,N/A,N/A,0.0,0.000,0.00,0,0,0,0,0.000,0.00,0.00,0.00,0.00,0.00,0.000,0,0,0,0,0.00,0.000,0.000,0.00,0.00,0.000,0,0.00,0.00,0.00,0.000,0.000,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,2,1,1,1.000,0,0,0,0.0,0,0,0-0,0,-,0,0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,7.0
8,Kelley,Ellis,1,5,3,0.000,0.400,0.400,0.000,0,0,0,0,0,0,2,2,0,0,0,0,0,1,0,1,100.0,0,0,3,60.00,2.5,0.000,100.0,1,33.33,33.33,33.33,0.000,0.000,3,0,0,0,17,3.400,0,0.00,0,0.00,-,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0.000,0.000,0,0,0,0,0,0.00,0,0.000,N/A,N/A,N/A,N/A,N/A,N/A,0.0,0.000,0.00,0,0,0,0,0.000,0.00,0.00,0.00,0.00,0.00,0.000,0,0,0,0,0.00,0.000,0.000,0.00,0.00,0.000,0,0.00,0.00,0.00,0.000,0.000,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,4,1,2,0.750,1,1,0,0.0,0,0,0-0,0,-,0,0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,7.0
11,Jackson,Pat,1,4,1,0.000,0.750,0.750,0.000,0,0,0,0,0,0,1,1,1,1,2,0,0,0,0,0,-,0,0,2,50.00,4.0,1.000,0.00,0,-,-,-,-,-,0,0,0,0,16,4.000,1,25.00,2,50.00,-,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0.000,0.000,0,0,0,0,0,0.00,0,0.000,N/A,N/A,N/A,N/A,N/A,N/A,0.0,0.000,0.00,0,0,0,0,0.000,0.00,0.00,0.00,0.00,0.00,0.000,0,0,0,0,0.00,0.000,0.000,0.00,0.00,0.000,0,0.00,0.00,0.00,0.000,0.000,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,3,0,3,1.000,0,0,0,0.0,0,0,0-0,0,-,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,7.0
13,Reeves,River,1,1,1,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,0,0,0.00,-,0.000,100.0,0,0.00,0.00,100.0,0.000,-,0,0,0,0,4,4.000,0,0.00,0,0.00,-,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0.000,0.000,0,0,0,0,0,0.00,0,0.000,N/A,N/A,N/A,N/A,N/A,N/A,0.0,0.000,0.00,0,0,0,0,0.000,0.00,0.00,0.00,0.00,0.00,0.000,0,0,0,0,0.00,0.000,0.000,0.00,0.00,0.000,0,0.00,0.00,0.00,0.000,0.000,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0,-,0,0,0,0.0,0,0,0-0,0,-,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0
15,Searcy,Wells,1,4,1,0.000,0.750,0.750,0.000,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,-,0,0,4,100.0,1.3,0.000,100.0,1,100.0,0.00,0.00,0.000,0.000,1,0,0,0,20,5.000,0,0.00,1,25.00,-,0,0,0,1.1,1,0,13,41,0,0,0,0,0,-,5,4,2,3,1,1,1,10.50,6.000,3,1,0,0,0,-,2,0.556,N/A,N/A,N/A,N/A,N/A,N/A,30.8,3.154,53.85,0,0,0,0,9.552,48.78,46.15,16.67,16.67,50.00,2.250,0,0,0,0,2.44,0.077,0.333,62.50,37.50,1.000,0,12.50,12.50,71.43,0.625,0.400,0,0,-,-,-,0,0,-,-,-,0,0,-,-,-,0,0,-,-,-,0,0,-,-,-,0,0,-,-,-,4,2,2,1.000,0,1,0,0.0,0,0,0-0,0,-,0,0,1.1,0.0,0.0,0.0,5.2,0.0,0.0,0.0,0.0,0.0,7.0
16,Harris,Lanford,1,4,3,0.667,0.750,1.417,0.667,2,2,0,0,0,0,2,1,0,0,0,0,0,0,0,3,100.0,0,0,1,25.00,4.0,0.000,100.0,0,0.00,33.33,33.33,0.667,1.000,0,0,0,2,15,3.750,0,0.00,0,0.00,-,0,0,0,4.0,1,1,12,41,1,0,0,0,0,-,1,0,0,2,0,0,0,0.000,0.750,0,0,1,1,0,0.00,0,0.100,N/A,N/A,N/A,N/A,N/A,N/A,10.3,3.417,50.00,2,1,1,4,4.530,56.10,66.67,87.50,0.00,12.50,0.500,2,0,1,0,7.32,0.000,0.000,66.67,33.33,0.400,0,22.22,33.33,44.44,0.100,0.000,0,0,-,-,-,0,0,-,-,-,0,0,-,-,-,0,0,-,-,-,0,0,-,-,-,0,0,-,-,-,5,2,3,1.000,0,0,0,0.0,0,0,0-0,0,-,0,0,4.0,0.0,0.0,0.2,1.1,0.0,0.0,0.0,1.0,0.0,7.0
